file_name,page_num,item_order,text
LM10_E5017_12_31_2017_674852.pdf,13,2,6000
LM10_E5017_12_31_2017_674852.pdf,15,1,500
LM10_E5017_12_31_2017_674852.pdf,15,2,0
LM10_E5017_12_31_2017_674852.pdf,16,1,650
LM10_E5017_12_31_2017_674852.pdf,17,1,460
LM10_E5017_12_31_2017_674852.pdf,17,2,0
LM10_E5017_12_31_2017_674852.pdf,18,1,"1,100.0"
LM10_E5017_12_31_2017_674852.pdf,19,1,500
LM10_E5017_12_31_2017_674852.pdf,19,2,0
LM10_E5017_12_31_2017_674852.pdf,19,3,o
LM10_E5017_12_31_2017_674852.pdf,20,1,0
LM10_E5017_12_31_2017_674852.pdf,22,1,27.750
LM10_E5017_12_31_2017_674852.pdf,22,2,0
LM10_E5017_12_31_2017_674852.pdf,22,3,0
LM10_E5017_12_31_2017_674852.pdf,23,1,750
LM10_E5017_12_31_2017_674852.pdf,25,1,6000
LM10_E5017_12_31_2017_674852.pdf,25,2,0
LM10_E5017_12_31_2017_674852.pdf,26,1,500
LM10_E5017_12_31_2017_674852.pdf,26,2,150
LM10_E5017_12_31_2017_674852.pdf,26,3,0
LM10_E5017_12_31_2017_674852.pdf,27,1,750
LM10_E5017_12_31_2017_674852.pdf,27,2,o
LM10_E5017_12_31_2017_674852.pdf,28,1,500
LM10_E5017_12_31_2017_674852.pdf,28,2,0
LM10_E5017_12_31_2017_674852.pdf,28,3,0
LM10_E5017_12_31_2017_674852.pdf,29,1,0
LM10_E5017_12_31_2017_674852.pdf,30,1,"5,00"
LM10_E5017_12_31_2017_674852.pdf,30,2,0
LM10_E5017_12_31_2017_674852.pdf,31,1,600
LM10_E5017_12_31_2017_674852.pdf,31,2,0
LM10_E5017_12_31_2017_674852.pdf,32,1,750
LM10_E5017_12_31_2017_674852.pdf,32,2,0
LM10_E5017_12_31_2017_674852.pdf,32,3,0
LM10_E5017_12_31_2017_674852.pdf,33,1,"2,000"
LM10_E5017_12_31_2017_674852.pdf,34,1,500
LM10_E5017_12_31_2017_674852.pdf,34,2,0
LM10_E5017_12_31_2017_674852.pdf,34,3,0
LM10_E5017_12_31_2017_674852.pdf,35,1,"2,500"
LM10_E5017_12_31_2017_674852.pdf,35,2,0
LM10_E5017_12_31_2017_674852.pdf,36,1,890
LM10_E5017_12_31_2017_674852.pdf,36,2,o
LM10_E5017_12_31_2017_674852.pdf,36,3,to
LM10_E5091_12_31_2015_620690.pdf,4,1,$241.00
LM10_E5091_12_31_2015_620690.pdf,4,2,$227.00
LM10_E5091_12_31_2015_620690.pdf,5,1,$37.00
LM10_E5091_12_31_2015_620690.pdf,5,2,$47.00
LM10_E5091_12_31_2015_620690.pdf,5,3,$15.30
LM10_E5091_12_31_2015_620690.pdf,6,1,$140.00
LM10_E5091_12_31_2015_620690.pdf,6,2,$126.00
LM10_E5091_12_31_2015_620690.pdf,7,1,$26.10
LM10_E5091_12_31_2015_620690.pdf,7,2,$59.21
LM10_E5091_12_31_2015_620690.pdf,7,3,$224.00
LM10_E5091_12_31_2015_620690.pdf,8,1,$357.00
LM10_E5091_12_31_2015_620690.pdf,8,2,$25.00
LM10_E5091_12_31_2015_620690.pdf,9,1,$10.00
LM10_E5091_12_31_2015_620690.pdf,10,1,$10.00
LM10_E5091_12_31_2015_620690.pdf,11,1,$47.00
LM10_E5091_12_31_2015_620690.pdf,11,2,$199.00
LM10_E5091_12_31_2015_620690.pdf,12,1,$257.00
LM10_E5091_12_31_2015_620690.pdf,12,2,$108.00
LM10_E5091_12_31_2015_620690.pdf,12,3,$57.00
LM10_E5091_12_31_2015_620690.pdf,13,1,$26.10
LM10_E5091_12_31_2015_620690.pdf,13,2,$59.21
LM10_E5091_12_31_2015_620690.pdf,14,1,$14.00
LM10_E5091_12_31_2015_620690.pdf,15,1,$55.00
LM10_E5091_12_31_2015_620690.pdf,16,1,$37.00
